Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung
113;13070000;DEUTDEBRXXX;Deutsche Bank;Bad Doberan;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
114;13070000;DEUTDEBRXXX;Deutsche Bank;Bergen auf Rügen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
115;13070000;DEUTDEBRXXX;Deutsche Bank;Bützow;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
116;13070000;DEUTDEBRXXX;Deutsche Bank;Demmin, Hansestadt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
117;13070000;DEUTDEBRXXX;Deutsche Bank;Greifswald, Hansestadt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
118;13070000;DEUTDEBRXXX;Deutsche Bank;Grevesmühlen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
119;13070000;DEUTDEBRXXX;Deutsche Bank;Grimmen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
120;13070000;DEUTDEBRXXX;Deutsche Bank;Güstrow;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
121;13070000;DEUTDEBRXXX;Deutsche Bank;Hagenow;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
122;13070000;DEUTDEBRXXX;Deutsche Bank;Ludwigslust;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
123;13070000;DEUTDEBRXXX;Deutsche Bank;Lübz;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
124;13070000;DEUTDEBRXXX;Deutsche Bank;Malchin;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
125;13070000;DEUTDEBRXXX;Deutsche Bank;Neubrandenburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
126;13070000;DEUTDEBRXXX;Deutsche Bank;Neustrelitz;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
127;13070000;DEUTDEBRXXX;Deutsche Bank;Prenzlau;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
128;13070000;DEUTDEBRXXX;Deutsche Bank;Ribnitz-Damgarten;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
129;13070000;DEUTDEBRXXX;Deutsche Bank;Schwerin;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
130;13070000;DEUTDEBRXXX;Deutsche Bank;Stralsund;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
131;13070000;DEUTDEBRXXX;Deutsche Bank;Templin;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
132;13070000;DEUTDEBRXXX;Deutsche Bank;Teterow;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
133;13070000;DEUTDEBRXXX;Deutsche Bank;Torgelow;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
134;13070000;DEUTDEBRXXX;Deutsche Bank;Wismar;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
135;13070000;DEUTDEBRXXX;Deutsche Bank;Wittenberge;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
136;13070000;DEUTDEBRXXX;Deutsche Bank;Wolgast;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
137;13070000;DEUTDEBRXXX;Deutsche Bank;Gadebusch;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
138;13070000;DEUTDEBRXXX;Deutsche Bank;Parchim;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
139;13070000;DEUTDEBRXXX;Deutsche Bank;Perleberg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
140;13070000;DEUTDEBRXXX;Deutsche Bank;Plau;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
141;13070000;DEUTDEBRXXX;Deutsche Bank;Stavenhagen, Reuterstadt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
142;13070000;DEUTDEBRXXX;Deutsche Bank;Sassnitz;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
143;13070000;DEUTDEBRXXX;Deutsche Bank;Waren (Müritz);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
144;13070000;DEUTDEBRXXX;Deutsche Bank;Ueckermünde;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
145;13070000;DEUTDEBRXXX;Deutsche Bank;Barth;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
146;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Rostock;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
147;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Anklam;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
148;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Bad Doberan;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
149;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Barth;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
150;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Bergen auf Rügen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
151;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Bützow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
152;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Demmin, Hansestadt;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
153;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Gadebusch;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
154;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Greifswald, Hansestadt;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
155;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Grevesmühlen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
156;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Grimmen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
157;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Güstrow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
158;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Hagenow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
159;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Ludwigslust;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
160;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Lübz;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
161;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Malchin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
162;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Neubrandenburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
163;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Neustrelitz;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
164;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Parchim;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
165;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Perleberg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
166;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Plau;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
167;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Prenzlau;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
168;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Stavenhagen, Reuterstadt;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
169;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Ribnitz-Damgarten;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
170;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Sassnitz;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
171;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Schwerin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
172;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Stralsund;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
173;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Templin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
174;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Teterow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
175;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Torgelow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
176;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Ueckermünde;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
177;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Waren (Müritz);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
178;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Wismar;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
179;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Wittenberge;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
180;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Wolgast;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
181;13090000;GENODEF1HR1;Rostocker Volks- und Raiffeisenbank eG;Rostock;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
182;13091054;GENODEF1HST;Stralsunder Volksbank eG;Stralsund;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
183;14051000;NOLADE21WIS;Sparkasse Mecklenburg-Nordwest;Wismar;Finanz Informatik GmbH & Co. KG;DSGV;banking-mv6.s-fints-pt-mv.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.07.2016
184;14051362;NOLADE21PCH;Sparkasse Parchim-Lübz;Parchim-Lübz;Finanz Informatik GmbH & Co. KG;DSGV;banking-mv6.s-fints-pt-mv.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.07.2016
185;14052000;NOLADE21LWL;Sparkasse Mecklenburg-Schwerin;Schwerin-Ludwigslust;Finanz Informatik GmbH & Co. KG;DSGV;banking-mv6.s-fints-pt-mv.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.07.2016
186;14061308;GENODEF1GUE;Volks- und Raiffeisenbank Güstrow eG;Güstrow;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
187;15050100;NOLADE21WRN;Müritz-Sparkasse;Müritz;Finanz Informatik GmbH & Co. KG;DSGV;banking-mv6.s-fints-pt-mv.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.07.2016
188;15050200;NOLADE21NBS;Sparkasse Neubrandenburg-Demmin;Demmin;Finanz Informatik GmbH & Co. KG;DSGV;banking-mv6.s-fints-pt-mv.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.07.2016
189;15050400;NOLADE21PSW;Sparkasse Uecker-Randow;Uecker-Randow;Finanz Informatik GmbH & Co. KG;DSGV;banking-mv6.s-fints-pt-mv.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.07.2016
190;15050500;NOLADE21GRW;Sparkasse Vorpommern;Greifswald;Finanz Informatik GmbH & Co. KG;DSGV;banking-mv6.s-fints-pt-mv.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.07.2016
191;15051732;NOLADE21MST;Sparkasse Mecklenburg-Strelitz;Mecklenburg-Strelitz;Finanz Informatik GmbH & Co. KG;DSGV;banking-mv6.s-fints-pt-mv.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.07.2016
192;15061618;GENODEF1WRN;Raiffeisenbank Waren eG;Waren ;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
193;15061618;GENODEF1WRN;Raiffeisenbank Waren eG;Neubrandenburg, Waren;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
194;15061638;GENODEF1ANK;Raiffeisenbank Anklam eG;Anklam;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
195;15091674;GENODEF1DM1;Volksbank Demmin eG;Demmin;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
196;15091704;GENODEF1PZ1;Volksbank Uckermark eG;Uckermark;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
197;16020086;HYVEDEMM470;UniCredit Bank - HypoVereinsbank AG;Potsdam;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
198;16050000;WELADED1PMB;Mittelbrandenburgische Sparkasse in Potsdam;Potsdam;Finanz Informatik GmbH & Co. KG;DSGV;banking-bb6.s-fints-pt-bb.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.07.2016
199;16050101;WELADED1PRP;Sparkasse Prignitz;Prignitz;Finanz Informatik GmbH & Co. KG;DSGV;banking-bb6.s-fints-pt-bb.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.07.2016
200;16050202;WELADED1OPR;Sparkasse Ostprignitz-Ruppin;Ostprignitz-Ruppin;Finanz Informatik GmbH & Co. KG;DSGV;banking-bb6.s-fints-pt-bb.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.07.2016
201;16060122;GENODEF1PER;Volks- und Raiffeisenbank Prignitz eG;Prignitz;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
202;16061938;GENODEF1NPP;Raiffeisenbank Ostprignitz-Ruppin eG;Ostprignitz-Ruppin;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
203;16062008;GENODEF1LUK;Volksbank Teltow-Fläming eG;Teltow;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
204;16062073;GENODEF1BRB;Brandenburger Bank Volksbank-Raiffeisenbank eG;Brandenburg;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
205;16091994;GENODEF1RN1;Volksbank Rathenow eG;Rathenow;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
206;17020086;HYVEDEMM471;UniCredit Bank - HypoVereinsbank AG;Frankfurt (Oder);eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
207;17052000;WELADED1GZE;Sparkasse Barnim;Barmin;Finanz Informatik GmbH & Co. KG;DSGV;banking-bb6.s-fints-pt-bb.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.07.2016
208;17052302;WELADED1UMX;Stadtsparkasse Schwedt;Schwedt;Finanz Informatik GmbH & Co. KG;DSGV;banking-bb6.s-fints-pt-bb.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.07.2016
209;17054040;WELADED1MOL;Sparkasse Märkisch-Oderland;Strausberg;Finanz Informatik GmbH & Co. KG;DSGV;banking-bb6.s-fints-pt-bb.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.07.2016
210;17055050;WELADED1LOS;Sparkasse Oder-Spree;Frankfurt (Oder);Finanz Informatik GmbH & Co. KG;DSGV;banking-bb6.s-fints-pt-bb.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.07.2016
211;17056060;WELADED1UMP;Sparkasse Uckermark;Prenzlau;Finanz Informatik GmbH & Co. KG;DSGV;banking-bb6.s-fints-pt-bb.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.07.2016
212;17062428;GENODEF1BKW;Raiffeisen-Volksbank Oder-Spree eG;Oder-Spree ;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
213;17092404;GENODEF1FW1;Volks- und Raiffeisenbank Fürstenw. Seelow Wriezen eG;Fürstenwalde ;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013
214;18020086;HYVEDEMM472;UniCredit Bank - HypoVereinsbank AG;Cottbus;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
215;18050000;WELADED1CBN;Sparkasse Spree-Neiße;Cottbus;Finanz Informatik GmbH & Co. KG;DSGV;banking-bb6.s-fints-pt-bb.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.07.2016
216;18051000;WELADED1EES;Sparkasse Elbe-Elster;Finsterwalde;Finanz Informatik GmbH & Co. KG;DSGV;banking-bb6.s-fints-pt-bb.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.07.2016
217;18055000;WELADED1OSL;Sparkasse Niederlausitz;Senftenberg Niederlausitz;Finanz Informatik GmbH & Co. KG;DSGV;banking-bb6.s-fints-pt-bb.de;nicht unterstützt;3.0;ja;;;;;;;;;;;ja;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.07.2016
