Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung
115;13070000;DEUTDEBRXXX;Deutsche Bank;Demmin, Hansestadt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
116;13070000;DEUTDEBRXXX;Deutsche Bank;Greifswald, Hansestadt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
117;13070000;DEUTDEBRXXX;Deutsche Bank;Grevesmühlen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
118;13070000;DEUTDEBRXXX;Deutsche Bank;Grimmen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
119;13070000;DEUTDEBRXXX;Deutsche Bank;Güstrow;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
120;13070000;DEUTDEBRXXX;Deutsche Bank;Hagenow;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
121;13070000;DEUTDEBRXXX;Deutsche Bank;Ludwigslust;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
122;13070000;DEUTDEBRXXX;Deutsche Bank;Lübz;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
123;13070000;DEUTDEBRXXX;Deutsche Bank;Malchin;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
124;13070000;DEUTDEBRXXX;Deutsche Bank;Neubrandenburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
125;13070000;DEUTDEBRXXX;Deutsche Bank;Neustrelitz;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
126;13070000;DEUTDEBRXXX;Deutsche Bank;Prenzlau;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
127;13070000;DEUTDEBRXXX;Deutsche Bank;Ribnitz-Damgarten;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
128;13070000;DEUTDEBRXXX;Deutsche Bank;Schwerin;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
129;13070000;DEUTDEBRXXX;Deutsche Bank;Stralsund;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
130;13070000;DEUTDEBRXXX;Deutsche Bank;Templin;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
131;13070000;DEUTDEBRXXX;Deutsche Bank;Teterow;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
132;13070000;DEUTDEBRXXX;Deutsche Bank;Torgelow;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
133;13070000;DEUTDEBRXXX;Deutsche Bank;Wismar;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
134;13070000;DEUTDEBRXXX;Deutsche Bank;Wittenberge;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
135;13070000;DEUTDEBRXXX;Deutsche Bank;Wolgast;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
136;13070000;DEUTDEBRXXX;Deutsche Bank;Gadebusch;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
137;13070000;DEUTDEBRXXX;Deutsche Bank;Parchim;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
138;13070000;DEUTDEBRXXX;Deutsche Bank;Perleberg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
139;13070000;DEUTDEBRXXX;Deutsche Bank;Plau;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
140;13070000;DEUTDEBRXXX;Deutsche Bank;Stavenhagen, Reuterstadt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
141;13070000;DEUTDEBRXXX;Deutsche Bank;Sassnitz;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
142;13070000;DEUTDEBRXXX;Deutsche Bank;Waren (Müritz);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
143;13070000;DEUTDEBRXXX;Deutsche Bank;Ueckermünde;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
144;13070000;DEUTDEBRXXX;Deutsche Bank;Barth;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
145;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Rostock;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
146;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Anklam;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
147;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Bad Doberan;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
148;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Barth;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
149;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Bergen auf Rügen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
150;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Bützow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
151;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Demmin, Hansestadt;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
152;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Gadebusch;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
153;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Greifswald, Hansestadt;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
154;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Grevesmühlen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
155;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Grimmen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
156;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Güstrow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
157;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Hagenow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
158;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Ludwigslust;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
159;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Lübz;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
160;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Malchin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
161;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Neubrandenburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
162;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Neustrelitz;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
163;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Parchim;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
164;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Perleberg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
165;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Plau;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
166;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Prenzlau;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
167;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Stavenhagen, Reuterstadt;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
168;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Ribnitz-Damgarten;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
169;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Sassnitz;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
170;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Schwerin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
171;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Stralsund;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
172;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Templin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
173;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Teterow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
174;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Torgelow;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
175;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Ueckermünde;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
176;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Waren (Müritz);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
177;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Wismar;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
178;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Wittenberge;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
179;13070024;DEUTDEDBROS;Deutsche Bank Privat und Geschäftskunden;Wolgast;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
180;13091054;GENODEF1HST;Volksbank Vorpommern eG;Stralsund;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
181;14051000;NOLADE21WIS;Sparkasse Mecklenburg-Nordwest;Wismar;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.02.2022
182;14052000;NOLADE21LWL;Sparkasse Mecklenburg-Schwerin;Schwerin-Ludwigslust;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.02.2022
183;14061308;GENODEF1GUE;VR Bank Mecklenburg eG;Güstrow;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
184;15050100;NOLADE21WRN;Müritz-Sparkasse;Müritz;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.02.2022
185;15050200;NOLADE21NBS;Sparkasse Neubrandenburg-Demmin;Demmin;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.02.2022
186;15050400;NOLADE21PSW;Sparkasse Uecker-Randow;Uecker-Randow;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.02.2022
187;15050500;NOLADE21GRW;Sparkasse Vorpommern;Greifswald;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.02.2022
188;15051732;NOLADE21MST;Sparkasse Mecklenburg-Strelitz;Mecklenburg-Strelitz;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-mv6.s-fints-pt-mv.de/fints30;FinTS V3.0;09.02.2022
189;15061618;GENODEF1WRN;Raiffeisenbank Waren eG;Waren ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
190;15061618;GENODEF1WRN;Raiffeisenbank Waren eG;Neubrandenburg, Waren;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
191;15091674;GENODEF1DM1;Volksbank Demmin eG;Demmin;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
192;15091704;GENODEF1PZ1;Volksbank Uckermark eG;Uckermark;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
193;16020086;HYVEDEMM470;UniCredit Bank - HypoVereinsbank AG;Potsdam;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
194;16050000;WELADED1PMB;Mittelbrandenburgische Sparkasse in Potsdam;Potsdam;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.02.2022
195;16050101;WELADED1PRP;Sparkasse Prignitz;Prignitz;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.02.2022
196;16050202;WELADED1OPR;Sparkasse Ostprignitz-Ruppin;Ostprignitz-Ruppin;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.02.2022
197;16060122;GENODEF1PER;Volks- und Raiffeisenbank Prignitz eG;Prignitz;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
198;16061938;GENODEF1NPP;Raiffeisenbank Ostprignitz-Ruppin eG;Ostprignitz-Ruppin;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
199;16062008;GENODEF1LUK;Volksbank Teltow-Fläming eG;Teltow;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
200;16062073;GENODEF1BRB;Brandenburger Bank Volksbank-Raiffeisenbank eG;Brandenburg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
201;16091994;GENODEF1RN1;Volksbank Rathenow eG;Rathenow;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
202;17020086;HYVEDEMM471;UniCredit Bank - HypoVereinsbank AG;Frankfurt (Oder);eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
203;17052000;WELADED1GZE;Sparkasse Barnim;Barmin;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.02.2022
204;17052302;WELADED1UMX;Stadtsparkasse Schwedt;Schwedt;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.02.2022
205;17054040;WELADED1MOL;Sparkasse Märkisch-Oderland;Strausberg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.02.2022
206;17055050;WELADED1LOS;Sparkasse Oder-Spree;Frankfurt (Oder);Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.02.2022
207;17056060;WELADED1UMP;Sparkasse Uckermark;Prenzlau;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.02.2022
208;17062428;GENODEF1BKW;Raiffeisen-Volksbank Oder-Spree eG;Oder-Spree ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
209;17092404;GENODEF1FW1;Volks- und Raiffeisenbank Fürstenw. Seelow Wriezen eG;Fürstenwalde ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
210;18020086;HYVEDEMM472;UniCredit Bank - HypoVereinsbank AG;Cottbus;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
211;18050000;WELADED1CBN;Sparkasse Spree-Neiße;Cottbus;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.02.2022
212;18051000;WELADED1EES;Sparkasse Elbe-Elster;Finsterwalde;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.02.2022
213;18055000;WELADED1OSL;Sparkasse Niederlausitz;Senftenberg Niederlausitz;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-bb6.s-fints-pt-bb.de/fints30;FinTS V3.0;09.02.2022
214;18062678;GENODEF1FWA;NL Bank Volks- und Raiffeisenbank eG;Herzberg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
215;18092684;GENODEF1LN1;Spreewaldbank eG Volksbank-Raiffeisenbank;Lübben;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
216;18092744;GENODEF1SPM;Volksbank Spremberg-Bad Muskau eG;Bad Muskau;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
217;20010020;PBNKDEFFXXX;Postbank (Giro);Hamburg;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;FinTS V3.0;02.04.2014
218;20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;Hamburg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
219;20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;Reinbek;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
220;20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;Wedel;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
221;20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;Bargteheide;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
222;20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;Ahrensburg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
223;20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;Norderstedt;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
224;20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;Bad Oldesloe;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
